Date,Close,High,Low,Open,Volume
2024-05-06,1314.0284423828125,1332.274929844339,1305.9188174045355,1308.5913151241766,6445422
2024-05-07,1327.8975830078125,1330.1093091097507,1304.5364861962978,1313.1528923189749,6080661
2024-05-08,1315.318603515625,1326.791770914921,1313.751912640343,1322.6448266752147,6234983
2024-05-09,1326.6075439453125,1336.1915031252968,1313.0607915586831,1315.5490256671164,6088406
2024-05-10,1313.10693359375,1323.289918499904,1302.1405469699123,1322.460619610937,8777481
2024-05-13,1311.7706298828125,1313.1990668474873,1300.481725623948,1313.1990668474873,3735954
2024-05-14,1312.9224853515625,1321.2624958851495,1306.7943133773022,1314.4891762078207,3463230
2024-05-15,1308.5452880859375,1319.4656655532183,1307.2552175350827,1314.1206697254097,4327544
2024-05-16,1339.3248291015625,1341.5365553493357,1315.0421875208667,1321.4468679639122,9249145
2024-05-17,1330.9849853515625,1342.6885398437046,1326.33114685659,1342.6885398437046,7542860
2024-05-21,1321.6312255859375,1331.3534390178734,1316.332352094495,1317.8067987413262,6752663
2024-05-22,1340.6610107421875,1345.4068679388222,1315.9636094884577,1316.6547668463822,7173285
2024-05-23,1356.8802490234375,1362.17912249703,1336.2376585581328,1340.5688666610597,8641428
2024-05-24,1350.1529541015625,1359.737026123514,1345.4531061608477,1353.0558377538796,5277938
2024-05-27,1355.91259765625,1363.515329240358,1345.6834903871545,1356.373369267408,5821844
2024-05-28,1351.949951171875,1360.1977175377683,1345.7295347806962,1359.7369459532367,6186922
2024-05-29,1337.1131591796875,1350.521658721026,1336.237738072663,1350.4295268928772,7401634
2024-05-30,1315.456787109375,1336.0993771509409,1310.0197722599248,1329.6025651299135,9663150
2024-05-31,1322.459716796875,1350.518135714177,1315.9738228639974,1325.18568552157,37113815
2024-06-03,1321.5198974609375,1353.5732408404072,1319.733909819397,1353.5732408404072,10589244
2024-06-04,1310.0050048828125,1330.0735833506835,1276.8236180013437,1324.4336953647442,13736134
2024-06-05,1344.267333984375,1351.6932097544602,1316.1149378567663,1316.1149378567663,9233424
2024-06-06,1383.8875732421875,1385.8145809499692,1351.2232206049546,1358.2260359203012,12660930
2024-06-07,1441.555419921875,1447.289283385155,1388.5874921626576,1392.1124223339962,24075302
2024-06-10,1409.7369384765625,1437.9834221145236,1407.434030215548,1433.753506313127,6810606
2024-06-11,1405.97705078125,1416.034804946141,1404.2850385180848,1410.0190163300265,4853054
2024-06-12,1396.0601806640625,1418.1967861734406,1393.7572723769142,1416.5518188986746,9564320
2024-06-13,1404.2850341796875,1414.6718735675256,1399.9611430962834,1405.27206045412,7307565
2024-06-14,1399.5382080078125,1413.4498626747718,1396.8592841989566,1413.4498626747718,4237727
2024-06-18,1408.2799072265625,1416.5517883847267,1405.6480284899164,1407.151975588544,5420939
2024-06-19,1420.640869140625,1424.682835067257,1406.8701186508476,1414.672010185947,5493456
2024-06-20,1424.44775390625,1426.4216917830183,1409.1260120772156,1425.2937600659554,7927010
2024-06-21,1440.7093505859375,1464.2559289959652,1432.249518545518,1452.271166938704,17301941
2024-06-24,1435.4925537109375,1437.325471461373,1424.4477727552649,1433.0486251290845,5564989
2024-06-25,1449.4041748046875,1451.237207255743,1429.1006009006553,1434.4115183965616,4551525
2024-06-26,1448.229248046875,1455.89011914625,1442.8714001458156,1448.5112883548547,4851004
2024-06-27,1478.9195556640625,1483.6665071274144,1440.0983968135813,1446.1141853395814,14757754
2024-06-28,1472.7156982421875,1493.160291468144,1470.3657449978248,1478.1676356666335,8197544
2024-07-01,1495.3223876953125,1503.8761950899986,1465.900925341744,1465.900925341744,6801771
2024-07-02,1523.7568359375,1535.7415983279318,1491.2804339153115,1500.3982072481522,10493173
2024-07-03,1529.7255859375,1537.809402144264,1509.609963229638,1527.4696078755678,7269965
2024-07-04,1551.580322265625,1560.369125414829,1530.2897205875556,1530.4776709701966,8008311
2024-07-05,1548.5721435546875,1565.8678223873435,1535.3184302011182,1552.3320687468383,7065022
2024-07-08,1561.919921875,1566.008817507365,1541.569304148907,1544.4832231774994,5880533
2024-07-09,1557.6900634765625,1566.7138611771477,1551.9091554243114,1560.2750121000736,5191182
2024-07-10,1549.32421875,1573.5287378659184,1539.2664644712022,1557.5490553427878,9852770
2024-07-11,1553.507080078125,1565.0688961998292,1543.4963708254108,1556.6090643284788,8857679
2024-07-12,1609.0130615234375,1616.5329122564228,1566.6199259649964,1579.1686539269024,17078316
2024-07-15,1604.59521484375,1624.2877782953476,1600.4592739409936,1622.5957659620965,6942230
2024-07-16,1622.454833984375,1633.593589888385,1597.9682742375037,1615.451904171574,6886281
2024-07-18,1652.5343017578125,1659.443141913382,1615.827983176718,1615.827983176718,11248896
2024-07-19,1685.3394775390625,1733.3255702708211,1679.2295989019908,1733.3255702708211,29819116
2024-07-22,1702.1651611328125,1713.5859571917674,1685.3394724496927,1692.1074068427615,8462126
2024-07-23,1726.6517333984375,1729.5186076175692,1676.2217119382558,1701.3662125939957,7113056
2024-07-24,1723.878662109375,1731.7745279912915,1710.3899533806657,1727.2156416274588,6002845
2024-07-25,1715.324951171875,1721.0118842620095,1703.246213719811,1710.7660645530111,5815599
2024-07-26,1766.1309814453125,1769.9848820315087,1715.7949342558115,1715.7949342558115,11369047
2024-07-29,1758.799072265625,1788.78450012986,1752.1252276626687,1779.9486525351583,4635931
2024-07-30,1764.486083984375,1767.1179630223214,1748.3653802446454,1758.799150694115,2721265
2024-07-31,1756.1199951171875,1772.0057014153294,1753.1121009722235,1764.344831170861,5004209
2024-08-01,1741.409423828125,1755.7911843622094,1734.3595637121657,1744.699358548906,7475014
2024-08-02,1711.89404296875,1747.8953757120823,1707.1472058471231,1732.385682945613,7400938
2024-08-05,1646.7532958984375,1689.6164211011132,1615.4049418548652,1677.819609648751,10736703
2024-08-06,1646.0013427734375,1689.0994653436978,1640.126459251215,1654.5551502330295,7690163
2024-08-07,1684.11767578125,1689.9925594528395,1656.341179884447,1688.206571867912,5094329
2024-08-08,1638.5284423828125,1673.1196857214622,1623.4416964698462,1673.1196857214622,6227910
2024-08-09,1664.471923828125,1673.8717370362467,1650.6071993461458,1664.9419144885312,4258524
2024-08-12,1689.5225830078125,1695.2564465708765,1661.9810822256,1666.634058979033,4315329
2024-08-13,1689.5693359375,1701.366147109179,1681.673584839887,1701.366147109179,4176918
2024-08-14,1713.821044921875,1715.4660123309595,1689.5694795075583,1693.8464406687062,7450718
2024-08-16,1747.378173828125,1750.1041425189478,1719.6957707243737,1738.9653871768742,7335657
2024-08-19,1752.8773193359375,1755.46226812506,1738.2135180462226,1748.3653628246682,2585989
2024-08-20,1759.8330078125,1772.5227558229078,1756.0730824760828,1767.1649081160394,3870333
2024-08-21,1760.302978515625,1766.2249067508462,1755.0391060531026,1762.5589566406527,1966902
2024-08-22,1767.39990234375,1779.9956751616294,1757.4830533776285,1770.9248323444356,4300287
2024-08-23,1750.33935546875,1769.6089743171249,1745.545473240602,1765.4730331765138,5015935
2024-08-26,1763.546142578125,1775.3898853769442,1752.1253455156184,1757.7652339668489,3728589
2024-08-27,1786.05859375,1788.5495673509674,1761.431127538951,1763.5460856398784,3830679
2024-08-28,1822.7177734375,1833.903574209478,1783.520597887289,1792.450420519267,6514531
2024-08-29,1817.3128662109373,1833.433568834404,1805.610144647818,1816.9838956969515,7228284
2024-08-30,1827.0416259765625,1832.9635541258783,1812.2839653100996,1821.6837784081808,13466759
2024-09-02,1846.5933837890625,1857.1681741009115,1826.195834151735,1826.712755054023,5573739
2024-09-03,1824.7386474609373,1848.943165257264,1820.2266914499244,1848.943165257264,4694322
2024-09-04,1807.0670166015625,1811.5319278069885,1786.0115271331308,1805.7980647866773,4778310
2024-09-05,1817.1248779296875,1823.563726903238,1794.9882723576418,1810.638983993486,4081810
2024-09-06,1787.7034912109375,1820.2738676395409,1783.00358450389,1806.6441381891027,5848106
2024-09-09,1780.9356689453125,1805.5631341580756,1775.6247514250556,1776.564732765143,4772612
2024-09-10,1797.5263671875,1818.8638977650469,1782.2046254069917,1790.5704823041317,6909600
2024-09-11,1795.50537109375,1810.4040523138208,1790.6644442667855,1799.7822173243185,5312946
2024-09-12,1833.38671875,1838.979677057524,1796.1165471605727,1809.4642374562256,8555092
