Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2024-06-12,1445.888671875,1458.4126908916728,1437.835879864395,1440.1331280315808,10081742
2024-06-13,1447.790771484375,1454.7073627830548,1442.7021123343332,1454.4603416652449,9181160
2024-06-14,1459.944091796875,1462.0437710581825,1439.8612048457326,1452.4840066456875,8157998
2024-06-18,1463.377685546875,1469.676723437239,1453.8179209728387,1469.6272709721836,7196766
2024-06-19,1441.2694091796875,1469.7756214798555,1438.650961260282,1469.7756214798555,8725874
2024-06-20,1456.139892578125,1465.1808887163045,1432.8211254931246,1441.6151005379975,16113776
2024-06-21,1436.872314453125,1457.1280450509373,1423.4096642387256,1456.0659025463858,31170360
2024-06-24,1424.2989501953125,1432.2283517054532,1420.3713387903338,1428.3007403004744,8878386
2024-06-25,1436.822998046875,1438.576872033328,1423.8296636688654,1425.8058325289194,7045386
2024-06-26,1495.9844970703125,1500.875466568816,1427.905458276952,1428.8194845866847,22014882
2024-06-27,1512.3126220703125,1519.1797603831344,1488.0551018777237,1495.7127559544517,28383030
2024-06-28,1546.747314453125,1562.161406676686,1512.781913849386,1512.781913849386,28957336
2024-07-01,1541.5599365234375,1560.5805616644209,1537.138282854078,1543.9066370278445,7724306
2024-07-02,1546.525146484375,1554.7509013864856,1538.4475077589818,1550.7985635373939,7749246
2024-07-03,1533.927001953125,1556.2329594590622,1524.391963189475,1547.661278880494,9049620
2024-07-04,1535.5079345703125,1548.822348177101,1532.321386398175,1538.447461634288,6837176
2024-07-05,1569.6956787109375,1579.4530127748421,1529.5547474353805,1535.3102911811948,12269710
2024-07-08,1581.824462890625,1589.6303543798022,1563.6684106310508,1570.0662334946016,9500806
2024-07-09,1571.325927734375,1581.4290665009253,1561.6673786971023,1578.563597646217,6960002
2024-07-10,1565.3480224609375,1578.4648673124634,1544.5241914718106,1575.9946562525065,7134578
2024-07-11,1561.815673828125,1585.1344421846698,1551.786592769845,1568.5840280306456,11940946
2024-07-12,1577.6990966796875,1586.023756297877,1555.7389442164904,1565.619788574804,12924784
2024-07-15,1578.193115234375,1586.7153433656392,1566.6078495211154,1585.332001053062,5329688
2024-07-16,1557.4681396484375,1580.9351457176842,1550.4280378276635,1574.5125966882063,9386838
2024-07-18,1567.7689208984375,1574.9078068261192,1539.2625884242743,1557.2210712967385,12298374
2024-07-19,1536.61962890625,1571.029623251694,1534.2976544625544,1567.1020115011324,13140390
2024-07-22,1482.7935791015625,1519.179738244426,1481.4102368427714,1518.9327171487766,19674376
2024-07-23,1470.1708984375,1487.808182000688,1445.5675711552426,1483.1147807956386,18052044
2024-07-24,1477.8779296875,1491.5135439533938,1458.8079713194404,1467.3054738461674,11913362
2024-07-25,1474.6171875,1482.595920809754,1459.474721651074,1463.3530011800513,12519876
2024-07-26,1491.044189453125,1494.4037007697482,1472.59166375446,1474.6172851615388,9859940
2024-07-29,1501.9871826171875,1509.2990318372968,1493.7614276294273,1493.9342700426573,7538550
2024-07-30,1495.1199951171875,1506.8287716127938,1492.0075050067665,1498.9488223237445,8228208
2024-07-31,1487.4869384765625,1492.4519658681731,1483.2628537354879,1486.0788700242824,10057346
2024-08-01,1497.244384765625,1499.9121644798522,1486.37545603751,1493.9836579008804,10764222
2024-08-02,1481.459716796875,1491.3405616106625,1475.4818780540024,1487.067144475012,10268248
2024-08-05,1430.079345703125,1466.2186085334113,1416.1721046606897,1462.3650548737628,17046704
2024-08-06,1438.700439453125,1459.8948030686215,1434.0316438440889,1437.8111393077952,10236186
2024-08-07,1447.3707275390625,1454.954323788822,1444.0853950542364,1451.4960282823629,8174568
2024-08-08,1431.8577880859375,1447.5436277380477,1428.6959662921352,1440.1577210643813,12387192
2024-08-09,1456.7330322265625,1458.9067698886504,1438.6510375603623,1442.6033755756382,6249776
2024-08-12,1443.2208251953125,1455.4483700557605,1440.3800824499558,1452.4841167562581,8184584
2024-08-13,1446.18505859375,1452.5581548536697,1440.6270837336665,1443.344315887485,6265064
2024-08-14,1444.43115234375,1454.460233101401,1436.3782403810737,1446.1109681889411,6267466
2024-08-16,1460.5863037109375,1462.760161748311,1440.676499654279,1451.1501701128775,9416902
2024-08-19,1475.65625,1485.47150978375,1467.8238660907393,1469.8067419652286,13797742
2024-08-20,1483.1416015625,1491.0484162933285,1477.2674041310693,1484.4057091952604,8411808
2024-08-21,1485.8433837890625,1494.964564922092,1477.2426107826689,1480.464784262564,7769996
2024-08-22,1485.2979736328125,1493.6012664349316,1477.8869991875908,1490.1312336221058,10445782
2024-08-23,1487.1322021484375,1498.3849993365056,1485.5955458508122,1490.8749048344312,9249654
2024-08-26,1499.6490478515625,1509.9600269352031,1490.131267553257,1494.0722092753902,8816114
2024-08-27,1487.6031494140625,1500.516654009415,1486.6117113802566,1497.5671500638725,6251156
2024-08-28,1485.4715576171875,1494.567928369235,1480.2168879705305,1492.1141436005682,9610286
2024-08-29,1507.90283203125,1523.8401488737275,1481.2083164719252,1490.2303777286736,38335358
2024-08-30,1496.6995849609375,1526.5418444404818,1490.4534771750382,1520.865886117465,41620730
2024-09-02,1503.267822265625,1513.7275412609433,1493.7252318027681,1497.9388431759776,11240852
2024-09-03,1496.203857421875,1509.9600595401412,1494.5927706873033,1508.2250430567562,10923800
2024-09-04,1501.5823974609375,1504.50709100704,1486.6612078847159,1487.850885016148,11983304
2024-09-05,1480.192138671875,1512.7113538076746,1474.3179410781217,1506.0439573959175,16264168
2024-09-06,1452.2830810546875,1484.182646260627,1449.110527949692,1479.721175380084,19394228
2024-09-09,1449.9283447265625,1457.339440034618,1443.1370191466497,1453.943716732093,9010298
2024-09-10,1449.0113525390625,1459.4462610127246,1445.0951000796938,1447.9951044503912,10768260
2024-09-11,1439.0721435546875,1456.1744477064742,1435.1560121734635,1450.5232999620255,9760202
2024-09-12,1467.1298828125,1473.2767495080643,1433.4953029575859,1444.5250498204912,22349376
2024-09-13,1460.016357421875,1470.451266381587,1456.918113729867,1463.7590600068495,8711328
2024-09-16,1458.752197265625,1468.2204780575375,1452.2087310287416,1464.8991851443227,5481774
2024-09-17,1459.6942138671875,1464.8248328952707,1454.0677548146177,1461.3796100548857,5935328
2024-09-18,1450.919921875,1469.3111455549956,1448.0448484372855,1457.413889315684,8574714
2024-09-19,1457.0916748046875,1463.8581906691413,1443.0876132109174,1453.6959512825117,16955902
2024-09-20,1473.2025146484375,1482.1997658201985,1458.7770437683578,1461.3795684407844,30897320
2024-09-23,1480.5887451171875,1488.6441789861601,1476.2015834923338,1478.2340798324108,8832314
2024-09-24,1476.6229248046875,1487.6526722077606,1475.1357678514642,1475.7554165819738,17137444
2024-09-25,1481.15869140625,1483.6869066134093,1467.5264194610884,1471.1948125268714,7069002
